Publication,Word,Frequency,Logo
Guardian,going,157,guardian_logo.svg
Guardian,rahman,157,guardian_logo.svg
Guardian,cup,156,guardian_logo.svg
Overall,people,4015,all_outlets.svg
Overall,dhaka,3059,all_outlets.svg
Overall,country,2952,all_outlets.svg
Overall,government,2813,all_outlets.svg
Overall,factory,2808,all_outlets.svg
Overall,police,2393,all_outlets.svg
Overall,worker,2259,all_outlets.svg
Overall,building,1954,all_outlets.svg
Overall,bangladeshi,1949,all_outlets.svg
Overall,group,1944,all_outlets.svg
Overall,garment,1687,all_outlets.svg
Overall,party,1559,all_outlets.svg
Overall,attack,1535,all_outlets.svg
Overall,official,1521,all_outlets.svg
Overall,death,1475,all_outlets.svg
Overall,right,1434,all_outlets.svg
Overall,killed,1395,all_outlets.svg
Overall,world,1368,all_outlets.svg
Overall,home,1245,all_outlets.svg
Overall,family,1222,all_outlets.svg
Overall,state,1212,all_outlets.svg
Overall,england,1196,all_outlets.svg
Overall,leader,1165,all_outlets.svg
Overall,million,1161,all_outlets.svg
Overall,woman,1149,all_outlets.svg
Overall,international,1142,all_outlets.svg
Overall,safety,1136,all_outlets.svg
Overall,man,1097,all_outlets.svg
Overall,india,1087,all_outlets.svg
Overall,rohingya,1077,all_outlets.svg
Overall,war,1035,all_outlets.svg
Overall,work,1022,all_outlets.svg
Overall,opposition,980,all_outlets.svg
Overall,local,969,all_outlets.svg
Overall,just,952,all_outlets.svg
Overall,child,934,all_outlets.svg
Overall,killing,921,all_outlets.svg
Overall,refugee,914,all_outlets.svg
Overall,security,881,all_outlets.svg
Overall,islam,864,all_outlets.svg
Overall,myanmar,818,all_outlets.svg
Overall,protest,817,all_outlets.svg
Overall,capital,811,all_outlets.svg
Overall,industry,810,all_outlets.svg
Overall,authority,804,all_outlets.svg
Overall,election,799,all_outlets.svg
Overall,collapse,793,all_outlets.svg
Overall,violence,793,all_outlets.svg
Overall,life,791,all_outlets.svg
Overall,water,783,all_outlets.svg
Overall,ball,781,all_outlets.svg
Overall,member,770,all_outlets.svg
Overall,team,747,all_outlets.svg
Overall,area,734,all_outlets.svg
Overall,condition,733,all_outlets.svg
Overall,owner,715,all_outlets.svg
Overall,case,714,all_outlets.svg
Overall,pakistan,714,all_outlets.svg
Overall,islamist,713,all_outlets.svg
Overall,report,708,all_outlets.svg
Overall,camp,693,all_outlets.svg
Overall,human,684,all_outlets.svg
Overall,political,682,all_outlets.svg
Overall,prime minister,681,all_outlets.svg
Overall,city,671,all_outlets.svg
Overall,died,663,all_outlets.svg
Overall,court,656,all_outlets.svg
Overall,islamic,654,all_outlets.svg
Overall,blogger,652,all_outlets.svg
Overall,company,650,all_outlets.svg
Overall,thousand,633,all_outlets.svg
Overall,rahman,627,all_outlets.svg
Overall,body,619,all_outlets.svg
Overall,place,608,all_outlets.svg
Overall,activist,607,all_outlets.svg
Overall,want,606,all_outlets.svg
Overall,retailer,605,all_outlets.svg
Overall,law,600,all_outlets.svg
Overall,disaster,597,all_outlets.svg
Overall,working,596,all_outlets.svg
Overall,crime,596,all_outlets.svg
Overall,rana plaza,596,all_outlets.svg
Overall,number,594,all_outlets.svg
Overall,run,588,all_outlets.svg
Overall,nation,586,all_outlets.svg
Overall,need,584,all_outlets.svg
Overall,muslim,583,all_outlets.svg
Overall,set,583,all_outlets.svg
Overall,recent,582,all_outlets.svg
Overall,district,580,all_outlets.svg
Overall,brand,580,all_outlets.svg
Overall,force,576,all_outlets.svg
Overall,left,569,all_outlets.svg
Overall,arrested,564,all_outlets.svg
Overall,jamaat,564,all_outlets.svg
Overall,militant,537,all_outlets.svg
Overall,used,529,all_outlets.svg
Overall,past,528,all_outlets.svg
Overall,help,523,all_outlets.svg
Overall,power,522,all_outlets.svg
